WY,Basin,Oct-Mar,Apr-Jul,WYsum,Index,Yr-type
1972,SacramentoValley,7.61,5.02,13.43,7.29,BN
1973,SacramentoValley,12.8,6.38,20.05,8.58,AN
1974,SacramentoValley,21.69,9.78,32.5,12.99,W
1975,SacramentoValley,9.24,8.95,19.23,9.35,W
1976,SacramentoValley,4.63,2.75,8.2,5.29,C
1977,SacramentoValley,2.49,1.93,5.12,3.11,C
1978,SacramentoValley,14.9,8.12,23.92,8.65,AN
1979,SacramentoValley,6.06,5.64,12.41,6.67,BN
1980,SacramentoValley,15.49,6,22.33,9.04,AN
1981,SacramentoValley,6.81,3.63,11.1,6.21,D
1982,SacramentoValley,20.56,11.82,33.41,12.76,W
1983,SacramentoValley,22.75,13.66,37.68,15.29,W
1984,SacramentoValley,15.98,5.52,22.35,10,W
1985,SacramentoValley,6.24,4,11.04,6.47,D
1986,SacramentoValley,19.45,5.45,25.83,9.96,W
1987,SacramentoValley,5.85,2.8,9.27,5.86,D
1988,SacramentoValley,5.78,2.9,9.23,4.65,C
1989,SacramentoValley,9.03,5.07,14.82,6.13,D
1990,SacramentoValley,4.94,3.72,9.26,4.81,C
1991,SacramentoValley,3.9,4.01,8.44,4.21,C
1992,SacramentoValley,5.41,2.93,8.87,4.06,C
1993,SacramentoValley,12.44,8.98,22.21,8.54,AN
1994,SacramentoValley,4.55,2.73,7.81,5.02,C
1995,SacramentoValley,19.83,13.6,34.55,12.89,W
1996,SacramentoValley,13.05,8.37,22.29,10.26,W
1997,SacramentoValley,20.22,4.39,25.42,10.82,W
1998,SacramentoValley,17.65,12.54,31.4,13.31,W
1999,SacramentoValley,12.97,7.26,21.19,9.8,W
2000,SacramentoValley,12.06,5.96,18.9,8.94,AN
2001,SacramentoValley,5.64,3.46,9.81,5.76,D
2002,SacramentoValley,9.32,4.57,14.6,6.35,D
2003,SacramentoValley,10.71,7.74,19.31,8.21,AN
2004,SacramentoValley,10.95,4.4,16.04,7.51,BN
2005,SacramentoValley,8.4,9.28,18.55,8.49,AN
2006,SacramentoValley,18.06,13.09,32.09,13.2,W
2007,SacramentoValley,6.59,3.04,10.28,6.19,D
2008,SacramentoValley,5.9,3.82,10.28,5.16,C
2009,SacramentoValley,7.05,5.3,13.02,5.78,D
2010,SacramentoValley,7.45,7.78,16.01,7.08,BN
2011,SacramentoValley,12.68,11.53,25.21,10.54,W
2012,SacramentoValley,5.69,5.46,11.84,6.89,BN
2013,SacramentoValley,8.52,3.01,12.19,5.83,D
2014,SacramentoValley,4.29,2.59,7.46,4.07,C
2015,SacramentoValley,6.91,1.77,9.23,4,C
2016,SacramentoValley,12.24,4.6,17.48,6.71,BN
2017,SacramentoValley,26.17,10.69,37.82,14.14,W
2018,SacramentoValley,7.09,5.05,12.86,7.14,BN
2019,SacramentoValley,13.11,10.66,24.77,10.34,W
2020,SacramentoValley,4.91,4.13,9.71,6.12,D
2021,SacramentoValley,3.52,2.26,6.37,3.8,C
2022,SacramentoValley,,,,,C
1901,SanJoaquinValley,3.49,5.58,9.39,4.6,W
1902,SanJoaquinValley,1.12,3.81,5.08,3.41,AN
1903,SanJoaquinValley,1.45,4.13,5.71,3.45,AN
1904,SanJoaquinValley,1.96,5.37,7.64,4.31,W
1905,SanJoaquinValley,1.82,3.36,5.3,3.24,AN
1906,SanJoaquinValley,2.53,9.24,12.43,6.7,W
1907,SanJoaquinValley,3.67,7.61,11.82,6.2,W
1908,SanJoaquinValley,0.98,2.17,3.32,2.4,D
1909,SanJoaquinValley,2.85,5.91,8.97,4.59,W
1910,SanJoaquinValley,2.87,3.62,6.64,3.65,AN
1911,SanJoaquinValley,3.63,7.52,11.48,5.97,W
1912,SanJoaquinValley,0.54,2.57,3.21,2.55,BN
1913,SanJoaquinValley,0.44,2.34,3,2,C
1914,SanJoaquinValley,2.72,5.67,8.69,4.35,W
1915,SanJoaquinValley,1.29,4.95,6.4,4.1,W
1916,SanJoaquinValley,2.67,5.5,8.38,4.65,W
1917,SanJoaquinValley,1.66,4.84,6.66,4.13,W
1918,SanJoaquinValley,1.07,3.4,4.59,3.08,BN
1919,SanJoaquinValley,1.06,2.99,4.09,2.62,BN
1920,SanJoaquinValley,0.72,3.29,4.09,2.64,BN
1921,SanJoaquinValley,1.97,3.84,5.9,3.23,AN
1922,SanJoaquinValley,1.51,5.99,7.68,4.54,W
1923,SanJoaquinValley,1.39,3.95,5.51,3.55,AN
1924,SanJoaquinValley,0.45,1.03,1.5,1.42,C
1925,SanJoaquinValley,1.45,3.93,5.51,2.93,BN
1926,SanJoaquinValley,0.89,2.56,3.49,2.3,D
1927,SanJoaquinValley,1.8,4.56,6.5,3.56,AN
1928,SanJoaquinValley,1.69,2.64,4.37,2.63,BN
1929,SanJoaquinValley,0.52,2.29,2.84,2,C
1930,SanJoaquinValley,0.76,2.44,3.25,2.02,C
1931,SanJoaquinValley,0.46,1.18,1.66,1.2,C
1932,SanJoaquinValley,1.79,4.69,6.63,3.41,AN
1933,SanJoaquinValley,0.49,2.77,3.34,2.44,D
1934,SanJoaquinValley,0.98,1.26,2.28,1.44,C
1935,SanJoaquinValley,1.26,5.03,6.41,3.56,AN
1936,SanJoaquinValley,2,4.38,6.49,3.74,AN
1937,SanJoaquinValley,1.78,4.66,6.53,3.9,W
1938,SanJoaquinValley,3.58,7.33,11.24,5.89,W
1939,SanJoaquinValley,1,1.83,2.9,2.2,D
1940,SanJoaquinValley,2.49,4.04,6.59,3.36,AN
1941,SanJoaquinValley,2.22,5.51,7.93,4.43,W
1942,SanJoaquinValley,1.93,5.28,7.38,4.44,W
1943,SanJoaquinValley,2.86,4.28,7.28,4.03,W
1944,SanJoaquinValley,0.87,2.97,3.92,2.76,BN
1945,SanJoaquinValley,2.07,4.37,6.6,3.59,AN
1946,SanJoaquinValley,1.99,3.65,5.73,3.3,AN
1947,SanJoaquinValley,1.26,2.12,3.42,2.18,D
1948,SanJoaquinValley,0.56,3.58,4.21,2.7,BN
1949,SanJoaquinValley,0.62,3.12,3.79,2.53,BN
1950,SanJoaquinValley,1.02,3.57,4.65,2.85,BN
1951,SanJoaquinValley,4.35,2.83,7.25,3.14,AN
1952,SanJoaquinValley,2.18,6.84,9.3,5.17,W
1953,SanJoaquinValley,1.07,3.18,4.35,3.03,BN
1954,SanJoaquinValley,1.1,3.16,4.3,2.72,BN
1955,SanJoaquinValley,0.78,2.67,3.5,2.3,D
1956,SanJoaquinValley,4.14,5.29,9.67,4.46,W
1957,SanJoaquinValley,1.02,3.19,4.29,3.01,BN
1958,SanJoaquinValley,1.67,6.4,8.36,4.77,W
1959,SanJoaquinValley,0.98,1.85,2.98,2.21,D
1960,SanJoaquinValley,0.85,2.07,2.96,1.85,C
1961,SanJoaquinValley,0.54,1.5,2.1,1.38,C
1962,SanJoaquinValley,1.26,4.24,5.61,3.07,BN
1963,SanJoaquinValley,1.68,4.37,6.24,3.57,AN
1964,SanJoaquinValley,0.93,2.14,3.14,2.19,D
1965,SanJoaquinValley,3.2,4.55,8.13,3.81,W
1966,SanJoaquinValley,1.49,2.42,3.98,2.51,BN
1967,SanJoaquinValley,2.46,7.09,9.98,5.25,W
1968,SanJoaquinValley,1.02,1.85,2.94,2.21,D
1969,SanJoaquinValley,3.84,8.14,12.29,6.09,W
1970,SanJoaquinValley,2.55,2.96,5.61,3.18,AN
1971,SanJoaquinValley,1.56,3.23,4.91,2.89,BN
1972,SanJoaquinValley,1.25,2.22,3.57,2.16,D
1973,SanJoaquinValley,1.87,4.48,6.47,3.5,AN
1974,SanJoaquinValley,2.43,4.53,7.12,3.9,W
1975,SanJoaquinValley,1.37,4.65,6.18,3.85,W
1976,SanJoaquinValley,0.78,1.07,1.97,1.57,C
1977,SanJoaquinValley,0.22,0.8,1.05,0.84,C
1978,SanJoaquinValley,2.57,6.5,9.65,4.58,W
1979,SanJoaquinValley,1.87,3.99,5.98,3.67,AN
1980,SanJoaquinValley,3.74,5.41,9.47,4.73,W
1981,SanJoaquinValley,0.85,2.29,3.22,2.44,D
1982,SanJoaquinValley,3.78,7,11.41,5.45,W
1983,SanJoaquinValley,5.42,8.73,15.01,7.22,W
1984,SanJoaquinValley,3.51,3.48,7.13,3.69,AN
1985,SanJoaquinValley,1.11,2.41,3.6,2.4,D
1986,SanJoaquinValley,4.36,4.92,9.5,4.31,W
1987,SanJoaquinValley,0.55,1.48,2.08,1.86,C
1988,SanJoaquinValley,0.86,1.55,2.48,1.48,C
1989,SanJoaquinValley,1.07,2.42,3.56,1.96,C
1990,SanJoaquinValley,0.83,1.59,2.46,1.51,C
1991,SanJoaquinValley,0.56,2.57,3.2,1.96,C
1992,SanJoaquinValley,0.86,1.66,2.58,1.56,C
1993,SanJoaquinValley,2.49,5.65,8.38,4.2,W
1994,SanJoaquinValley,0.66,1.8,2.54,2.05,C
1995,SanJoaquinValley,3.67,8.01,12.32,5.95,W
1996,SanJoaquinValley,2.57,4.51,7.22,4.12,W
1997,SanJoaquinValley,5.75,3.59,9.51,4.13,W
1998,SanJoaquinValley,2.82,7.11,10.43,5.65,W
1999,SanJoaquinValley,1.9,3.85,5.91,3.59,AN
2000,SanJoaquinValley,1.98,3.78,5.9,3.38,AN
2001,SanJoaquinValley,0.92,2.23,3.18,2.2,D
2002,SanJoaquinValley,1.27,2.75,4.06,2.34,D
2003,SanJoaquinValley,1.25,3.49,4.87,2.81,BN
2004,SanJoaquinValley,1.51,2.25,3.81,2.21,D
2005,SanJoaquinValley,2.73,6.28,9.21,4.75,W
2006,SanJoaquinValley,2.86,7.37,10.44,5.9,W
2007,SanJoaquinValley,0.99,1.46,2.51,1.97,C
2008,SanJoaquinValley,0.99,2.45,3.49,2.06,C
2009,SanJoaquinValley,1.51,3.35,4.94,2.72,BN
2010,SanJoaquinValley,1.43,4.53,6.08,3.55,AN
2011,SanJoaquinValley,3.68,6.9,10.99,5.58,W
2012,SanJoaquinValley,0.83,1.86,2.76,2.18,D
2013,SanJoaquinValley,1.33,1.67,3.05,1.71,C
2014,SanJoaquinValley,0.46,1.21,1.72,1.16,C
2015,SanJoaquinValley,0.67,0.74,1.44,0.81,C
2016,SanJoaquinValley,2.03,2.98,5.06,2.35,D
2017,SanJoaquinValley,6.65,7.77,14.84,6.46,W
2018,SanJoaquinValley,1.64,3.01,4.76,3.03,BN
2019,SanJoaquinValley,2.64,6.34,9.28,4.94,W
2020,SanJoaquinValley,0.8,2.15,3.02,2.35,D
2021,SanJoaquinValley,0.51,1.24,1.8,1.32,C
2022,SanJoaquinValley,,,,,C
