WY,Basin,Oct-Mar,Apr-Jul,WYsum,Index,Yr-type
1906,SacramentoValley,12.57,12.92,26.71,11.76,W
1907,SacramentoValley,18.96,13.45,33.7,14.07,W
1908,SacramentoValley,8.29,5.6,14.77,7.73,BN
1909,SacramentoValley,20.61,8.98,30.68,12.1,W
1910,SacramentoValley,13.12,6.11,20.12,9.38,W
1911,SacramentoValley,12.27,13.12,26.38,11.74,W
1912,SacramentoValley,4.84,5.65,11.41,6.71,BN
1913,SacramentoValley,5.72,6.29,12.85,6.24,D
1914,SacramentoValley,16.72,10.08,27.81,10.92,W
1915,SacramentoValley,11.41,11.42,23.86,10.99,W
1916,SacramentoValley,14.25,8.89,24.14,10.83,W
1917,SacramentoValley,7.25,9.14,17.26,8.83,AN
1918,SacramentoValley,5.27,4.89,10.99,6.19,D
1919,SacramentoValley,8.12,6.77,15.66,7,BN
1920,SacramentoValley,3.63,4.91,9.2,5.15,C
1921,SacramentoValley,15.47,7.52,23.8,9.2,AN
1922,SacramentoValley,6.63,10.57,17.98,8.97,AN
1923,SacramentoValley,6.21,6.27,13.21,7.06,BN
1924,SacramentoValley,3.27,1.94,5.74,3.87,C
1925,SacramentoValley,8.76,6.51,15.99,6.39,D
1926,SacramentoValley,6.37,4.79,11.76,5.75,D
1927,SacramentoValley,14.34,8.75,23.83,9.52,W
1928,SacramentoValley,10.24,5.86,16.76,8.27,AN
1929,SacramentoValley,4,3.84,8.4,5.22,C
1930,SacramentoValley,8.24,4.65,13.52,5.9,D
1931,SacramentoValley,3.52,2.09,6.1,3.66,C
1932,SacramentoValley,6.28,6.24,13.12,5.48,D
1933,SacramentoValley,3.73,4.66,8.94,4.63,C
1934,SacramentoValley,5.68,2.45,8.63,4.07,C
1935,SacramentoValley,6.27,9.69,16.59,6.98,BN
1936,SacramentoValley,10.32,6.41,17.35,7.75,BN
1937,SacramentoValley,5.5,7.24,13.33,6.87,BN
1938,SacramentoValley,17.96,12.93,31.83,12.62,W
1939,SacramentoValley,4.56,3.04,8.18,5.58,D
1940,SacramentoValley,14.78,6.93,22.43,8.88,AN
1941,SacramentoValley,16.32,9.77,27.08,11.47,W
1942,SacramentoValley,14.33,9.93,25.24,11.27,W
1943,SacramentoValley,13.37,6.9,21.13,9.77,W
1944,SacramentoValley,4.81,4.93,10.43,6.35,D
1945,SacramentoValley,8.42,5.92,15.06,6.8,BN
1946,SacramentoValley,10.89,5.97,17.62,7.7,BN
1947,SacramentoValley,5.9,3.83,10.39,5.61,D
1948,SacramentoValley,5.39,9.55,15.75,7.12,BN
1949,SacramentoValley,5.73,5.59,11.97,6.09,D
1950,SacramentoValley,7.01,6.72,14.44,6.62,BN
1951,SacramentoValley,16.77,5.42,22.95,9.18,AN
1952,SacramentoValley,13.86,13.68,28.6,12.38,W
1953,SacramentoValley,10.84,8.26,20.09,9.55,W
1954,SacramentoValley,9.74,6.81,17.43,8.51,AN
1955,SacramentoValley,5.19,5.07,10.98,6.14,D
1956,SacramentoValley,20.32,8.6,29.89,11.38,W
1957,SacramentoValley,7.72,6.29,14.89,7.83,AN
1958,SacramentoValley,16.37,12.24,29.71,12.16,W
1959,SacramentoValley,7.4,3.84,12.05,6.75,BN
1960,SacramentoValley,7.72,4.65,13.06,6.2,D
1961,SacramentoValley,6.87,4.39,11.97,5.68,D
1962,SacramentoValley,8.17,6.23,15.11,6.65,BN
1963,SacramentoValley,12.01,10.09,22.99,9.63,W
1964,SacramentoValley,5.9,4.37,10.92,6.41,D
1965,SacramentoValley,16.59,8.13,25.64,10.15,W
1966,SacramentoValley,7.42,4.84,12.95,7.16,BN
1967,SacramentoValley,12.14,11.01,24.06,10.2,W
1968,SacramentoValley,8.66,4.12,13.64,7.24,BN
1969,SacramentoValley,15.33,10.68,26.98,11.05,W
1970,SacramentoValley,18.87,4.35,24.06,10.4,W
1971,SacramentoValley,12.71,8.9,22.57,10.37,W
